request_id,category,status,priority,latitude,longitude,neighbourhood,ward,service_district,created_date,days_open
SR-000001,Missed Collection,Open,High,43.632916,-79.533413,Waterfront Communities,Ward 15,South District,2025-12-20,35
SR-000002,Public Realm Cleanliness,Open,Urgent,43.632377,-79.593779,Kensington Chinatown,Ward 7,South District,2025-12-31,27
SR-000003,Missed Collection,Closed,Low,43.725194,-79.23344,Kensington Chinatown,Ward 18,East District,2025-11-19,0
SR-000004,Public Realm Cleanliness,Closed,Medium,43.594025,-79.597458,Waterfront Communities,Ward 6,North District,2026-04-12,0
SR-000005,Illegal Dumping,Closed,Low,43.721737,-79.243032,Annex,Ward 2,East District,2026-02-01,0
SR-000006,Missed Collection,Open,Low,43.66515,-79.459177,Scarborough Village,Ward 6,North District,2025-11-05,19
SR-000007,Public Realm Cleanliness,Closed,Medium,43.72716,-79.493862,Agincourt South,Ward 24,East District,2026-04-17,0
SR-000008,Illegal Dumping,Open,High,43.59612,-79.281795,Danforth East York,Ward 13,West District,2026-01-07,36
SR-000009,Illegal Dumping,Open,Urgent,43.733899,-79.352852,Annex,Ward 4,East District,2026-02-01,34
SR-000010,Public Realm Cleanliness,Closed,Medium,43.760587,-79.309394,Flemingdon Park,Ward 7,West District,2026-03-30,0
SR-000011,Public Realm Cleanliness,Closed,Low,43.637353,-79.457859,Agincourt South,Ward 24,East District,2026-01-07,0
SR-000012,Illegal Dumping,Closed,High,43.619005,-79.560266,North York Centre,Ward 19,East District,2026-03-24,0
SR-000013,Public Realm Cleanliness,Closed,Urgent,43.745525,-79.225044,North York Centre,Ward 24,South District,2025-12-21,0
SR-000014,Public Realm Cleanliness,Open,Medium,43.811428,-79.33096,Flemingdon Park,Ward 10,North District,2026-04-26,8
SR-000015,Damaged Bin,Open,Low,43.632343,-79.571401,Flemingdon Park,Ward 7,South District,2026-01-11,3
SR-000016,Illegal Dumping,In Progress,Medium,43.776956,-79.353772,Waterfront Communities,Ward 21,North District,2025-11-01,19
SR-000017,Missed Collection,In Progress,High,43.732206,-79.260527,High Park North,Ward 17,East District,2026-04-25,8
SR-000018,Illegal Dumping,Closed,High,43.751754,-79.236149,Scarborough Village,Ward 24,West District,2026-03-13,0
SR-000019,Illegal Dumping,Open,High,43.602929,-79.276141,York University Heights,Ward 16,South District,2026-04-17,42
SR-000020,Damaged Bin,Open,Medium,43.785696,-79.488378,York University Heights,Ward 15,East District,2025-12-29,27
