asset_id,asset_type,latitude,longitude,neighbourhood,ward,service_district,service_frequency,service_pressure_score,data_quality_risk_score,governance_maturity_score,access_risk_level,ai_readiness_score,stale_days,open_issue_count,risk_index,risk_tier,color_r,color_g,color_b,color_a,last_updated
ASSET-00001,Litter Bin,43.625884,-79.548243,Etobicoke Centre,Ward 11,South District,Daily,72,34,85,Low,69,102,1,53.1,Moderate,255,193,7,170,2026-01-14
ASSET-00002,Recycling Bin,43.63182,-79.535634,Waterfront Communities,Ward 8,West District,Daily,95,54,66,Low,46,65,0,64.4,High,255,127,14,190,2026-02-20
ASSET-00003,Container,43.730726,-79.555833,Annex,Ward 5,South District,On demand,67,0,44,Medium,48,23,3,51.5,Moderate,255,193,7,170,2026-04-03
ASSET-00004,Container,43.635925,-79.383452,Scarborough Village,Ward 7,North District,2x weekly,42,6,98,Low,85,36,0,21.4,Low,44,160,44,160,2026-03-21
ASSET-00005,Park Waste Bin,43.604962,-79.183513,Agincourt South,Ward 17,South District,Daily,50,40,54,Medium,57,59,2,58.1,High,255,127,14,190,2026-02-26
ASSET-00006,Park Waste Bin,43.618069,-79.392219,Waterfront Communities,Ward 19,North District,On demand,49,31,63,Low,46,115,0,47.8,Moderate,255,193,7,170,2026-01-01
ASSET-00007,Litter Bin,43.715743,-79.534967,Kensington Chinatown,Ward 3,West District,2x weekly,79,11,77,Low,59,0,0,35.5,Moderate,255,193,7,170,2026-04-26
ASSET-00008,Park Waste Bin,43.679396,-79.495179,York University Heights,Ward 16,North District,On demand,77,41,72,Low,52,33,1,51.0,Moderate,255,193,7,170,2026-03-24
ASSET-00009,Container,43.622413,-79.250989,Agincourt South,Ward 8,South District,Weekly,52,61,79,Low,59,0,2,44.7,Moderate,255,193,7,170,2026-04-26
ASSET-00010,Public Realm Asset,43.767392,-79.585939,Danforth East York,Ward 14,South District,Weekly,47,51,91,Low,53,80,0,43.5,Moderate,255,193,7,170,2026-02-05
ASSET-00011,Litter Bin,43.666107,-79.590763,Waterfront Communities,Ward 13,East District,Daily,44,31,79,Low,71,82,2,43.1,Moderate,255,193,7,170,2026-02-03
ASSET-00012,Container,43.794059,-79.402781,Agincourt South,Ward 5,South District,3x weekly,38,11,87,Low,68,96,0,31.2,Low,44,160,44,160,2026-01-20
ASSET-00013,Litter Bin,43.767322,-79.392854,Agincourt South,Ward 18,West District,Daily,69,23,80,Medium,61,103,1,57.9,High,255,127,14,190,2026-01-13
ASSET-00014,Litter Bin,43.662302,-79.386057,Kensington Chinatown,Ward 6,South District,Weekly,6,56,75,High,41,33,3,52.0,Moderate,255,193,7,170,2026-03-24
ASSET-00015,Litter Bin,43.642624,-79.584589,Annex,Ward 13,West District,Weekly,57,45,99,Medium,67,25,0,44.8,Moderate,255,193,7,170,2026-04-01
ASSET-00016,Park Waste Bin,43.774845,-79.534178,Scarborough Village,Ward 23,South District,3x weekly,45,26,89,Medium,71,57,3,46.9,Moderate,255,193,7,170,2026-02-28
ASSET-00017,Litter Bin,43.642425,-79.42353,Etobicoke Centre,Ward 24,West District,2x weekly,64,59,62,Low,40,32,0,51.7,Moderate,255,193,7,170,2026-03-25
ASSET-00018,Public Realm Asset,43.686005,-79.51783,North York Centre,Ward 17,North District,Daily,68,43,74,Low,63,36,0,46.4,Moderate,255,193,7,170,2026-03-21
ASSET-00019,Litter Bin,43.709322,-79.296611,Etobicoke Centre,Ward 3,North District,Weekly,54,20,71,High,56,60,0,56.2,High,255,127,14,190,2026-02-25
ASSET-00020,Container,43.655513,-79.603032,Etobicoke Centre,Ward 2,West District,Weekly,67,36,41,Low,39,43,1,53.4,Moderate,255,193,7,170,2026-03-14
ASSET-00021,Park Waste Bin,43.623326,-79.394852,High Park North,Ward 7,East District,3x weekly,63,92,70,High,42,56,1,82.6,Critical,214,39,40,210,2026-03-01
ASSET-00022,Park Waste Bin,43.67459,-79.329139,Agincourt South,Ward 11,West District,Daily,85,54,87,Medium,51,10,1,59.8,High,255,127,14,190,2026-04-16
ASSET-00023,Litter Bin,43.599378,-79.348189,Downtown Yonge East,Ward 18,North District,On demand,74,86,57,Medium,40,23,1,73.2,High,255,127,14,190,2026-04-03
ASSET-00024,Litter Bin,43.748916,-79.442102,Kensington Chinatown,Ward 12,East District,3x weekly,29,39,55,Medium,49,62,0,46.6,Moderate,255,193,7,170,2026-02-23
ASSET-00025,Park Waste Bin,43.777961,-79.364608,Etobicoke Centre,Ward 21,West District,On demand,45,30,87,Medium,72,0,3,41.4,Moderate,255,193,7,170,2026-04-26
ASSET-00026,Recycling Bin,43.667977,-79.459364,High Park North,Ward 4,West District,On demand,28,42,78,Medium,50,74,2,48.0,Moderate,255,193,7,170,2026-02-11
ASSET-00027,Container,43.737667,-79.581296,Kensington Chinatown,Ward 23,East District,3x weekly,72,44,78,Low,55,58,0,50.0,Moderate,255,193,7,170,2026-02-27
ASSET-00028,Park Waste Bin,43.739951,-79.516836,Waterfront Communities,Ward 3,South District,2x weekly,68,22,100,Medium,79,63,1,48.3,Moderate,255,193,7,170,2026-02-22
ASSET-00029,Recycling Bin,43.739416,-79.229357,York University Heights,Ward 9,North District,Weekly,41,55,93,Low,59,13,0,33.9,Low,44,160,44,160,2026-04-13
ASSET-00030,Container,43.650997,-79.507765,Waterfront Communities,Ward 4,West District,3x weekly,79,79,69,High,43,16,2,81.5,Critical,214,39,40,210,2026-04-10
ASSET-00031,Container,43.772807,-79.388787,North York Centre,Ward 5,South District,3x weekly,60,45,78,High,57,76,0,66.4,High,255,127,14,190,2026-02-09
ASSET-00032,Litter Bin,43.654578,-79.608815,Danforth East York,Ward 7,North District,Daily,56,97,84,Low,41,12,0,53.4,Moderate,255,193,7,170,2026-04-14
ASSET-00033,Public Realm Asset,43.593555,-79.192973,Etobicoke Centre,Ward 24,North District,3x weekly,39,48,70,Medium,58,72,3,57.0,High,255,127,14,190,2026-02-13
ASSET-00034,Public Realm Asset,43.785761,-79.474216,Waterfront Communities,Ward 6,East District,Weekly,71,36,59,Low,45,0,3,49.9,Moderate,255,193,7,170,2026-04-26
ASSET-00035,Litter Bin,43.721114,-79.575299,Scarborough Village,Ward 2,South District,3x weekly,66,10,76,Low,62,59,0,38.3,Moderate,255,193,7,170,2026-02-26
ASSET-00036,Park Waste Bin,43.750314,-79.296857,High Park North,Ward 8,North District,Daily,63,12,80,Low,72,66,3,43.9,Moderate,255,193,7,170,2026-02-19
ASSET-00037,Park Waste Bin,43.789427,-79.199909,Downtown Yonge East,Ward 25,East District,2x weekly,33,17,82,Low,67,64,1,30.2,Low,44,160,44,160,2026-02-21
ASSET-00038,Park Waste Bin,43.751452,-79.253935,Waterfront Communities,Ward 4,East District,3x weekly,72,100,83,High,46,88,1,89.6,Critical,214,39,40,210,2026-01-28
ASSET-00039,Litter Bin,43.723004,-79.603467,Etobicoke Centre,Ward 14,East District,2x weekly,55,54,60,High,36,36,0,66.0,High,255,127,14,190,2026-03-21
